Time,UA(deg),UB(deg),UC(deg),IA_UA(deg),IB_UA(deg),IC_UA(deg)
7/21/2026 9:34:13 AM,0,240,119.8,355.9,236.3,115.8
7/21/2026 9:34:57 AM,0,240.1,119.8,355.9,236.3,115.9
7/21/2026 9:35:19 AM,0,240,119.7,355.9,236.2,115.8
7/21/2026 9:45:35 AM,0,240,119.7,356.2,236.5,116.2
7/21/2026 9:45:46 AM,0,239.9,119.7,356.3,236.7,116.2
7/21/2026 9:47:03 AM,0,240,119.7,356.2,236.6,116.2
7/21/2026 9:50:54 AM,0,240,119.7,356.7,237.1,116.7
7/21/2026 9:51:16 AM,0,239.9,119.7,356.7,237.1,116.7
7/21/2026 9:51:38 AM,0,239.9,119.7,356.7,237.1,116.5
7/21/2026 9:56:13 AM,0,239.9,119.7,357,237.4,116.9
7/21/2026 9:56:24 AM,0,240,119.8,357,237.4,117.1
7/21/2026 9:59:31 AM,0,239.9,119.7,356.8,237.3,116.9
7/21/2026 10:00:48 AM,0,240,119.8,357.2,237.6,117.1
7/21/2026 10:01:21 AM,0,240,119.8,357.2,237.6,117.2
7/21/2026 10:03:00 AM,0,240,119.8,357.2,237.7,117.2
7/21/2026 10:05:34 AM,0,240,119.7,357.7,238,117.6
7/21/2026 10:05:45 AM,0,239.9,119.7,357.6,238,117.6
7/21/2026 10:09:14 AM,0,240,119.8,357.7,238.1,117.6
7/21/2026 10:11:26 AM,0,239.9,119.7,358,238.4,117.9
7/21/2026 10:12:21 AM,0,240,119.7,358,238.4,118
7/21/2026 10:15:06 AM,0,239.9,119.7,357.9,238.4,117.9
7/21/2026 10:19:19 AM,0,239.9,119.8,358.4,238.9,118.5
7/21/2026 10:19:30 AM,0,240,119.8,358.2,238.5,118.1
7/21/2026 10:19:41 AM,0,240,119.8,358.4,238.6,118.2
7/21/2026 10:25:22 AM,0,239.9,119.7,358,238.8,118
7/21/2026 10:25:55 AM,0,239.9,119.7,358.2,238.4,118
7/21/2026 10:27:01 AM,0,239.9,119.8,358.2,238.7,118
7/21/2026 10:29:46 AM,0,240,119.8,358.5,238.7,118.4
7/21/2026 10:29:57 AM,0,240,119.8,358.2,238.9,118.1
7/21/2026 10:31:58 AM,0,239.9,119.8,358.3,238.7,118.3
7/21/2026 10:32:42 AM,0,240,119.7,358.3,238.8,118
7/21/2026 10:34:21 AM,0,240,119.8,358.6,239.3,118.6
7/21/2026 10:34:43 AM,0,240,119.8,358.3,238.5,118.2
7/21/2026 10:34:54 AM,0,240,119.8,358.2,238.7,118
7/21/2026 10:35:38 AM,0,240,119.8,357.9,238.7,118
7/21/2026 10:39:29 AM,0,240,119.8,357.1,237.8,117.6
7/21/2026 10:40:46 AM,0,240,119.8,357.4,238.2,116.5
7/21/2026 10:41:30 AM,0,240,119.7,357.2,238.9,117.6
EOF,,,,,,
